Surface_ID,Active_Site,HO,O,dG_HO,dG_O,dG_OOH,dG_1,dG_2,dG_3,dG_4,Overpotential_V,Electronegativity,Radius_pm,Valence_e
88-CoFeMnNiCr-HEO-Co-site,Co,1.39828141999999,3.27205536,1.7482814199999899,3.32205536,4.94828141999999,1.7482814199999899,1.57377394000001,1.6262260599999903,-0.02828141999999012,0.5182814199999899,1.88,125.0,9.0
89-CoFeNiCrMn-HEO-Co-site,Co,1.26083656999998,3.27965822000002,1.61083656999998,3.3296582200000198,4.81083656999998,1.61083656999998,1.7188216500000397,1.48117834999996,0.10916343000002016,0.48882165000003974,1.88,125.0,9.0
9-CrFeCoMnNi-HEO-Co-site,Co,1.20190685,,1.55190685,,4.75190685,1.55190685,,,0.1680931499999998,0.32190684999999997,1.88,125.0,9.0
90-CoFeNiMnCr-HEO-Co-site,Co,1.37400327,3.30476434000002,1.7240032699999999,3.35476434000002,4.92400327,1.7240032699999999,1.6307610700000201,1.56923892999998,-0.004003270000000114,0.4940032699999999,1.88,125.0,9.0
91-CoNiCrMnFe-HEO-Co-site,Co,1.33227876000001,3.32470242000002,1.6822787600000102,3.3747024200000197,4.882278760000011,1.6822787600000102,1.6924236600000095,1.507576339999991,0.03772123999998911,0.46242366000000956,1.88,125.0,9.0
92-CoNiCrFeMn-HEO-Co-site,Co,1.24607449000001,3.26049612000003,1.5960744900000101,3.31049612000003,4.79607449000001,1.5960744900000101,1.71442163000002,1.4855783699999803,0.12392550999998964,0.4844216300000199,1.88,125.0,9.0
93-CoNiMnCrFe-HEO-Co-site,Co,1.47432466999999,3.38975873999999,1.82432466999999,3.4397587399999896,5.02432466999999,1.82432466999999,1.6154340699999996,1.5845659300000001,-0.1043246699999898,0.59432466999999,1.88,125.0,9.0
94-CoNiMnFeCr-HEO-Co-site,Co,1.39108455999997,3.31114690999999,1.7410845599999698,3.3611469099999898,4.94108455999997,1.7410845599999698,1.62006235000002,1.5799376499999802,-0.021084559999970054,0.5110845599999698,1.88,125.0,9.0
95-CoNiFeCrMn-HEO-Co-site,Co,1.26499107000001,3.08641168000003,1.61499107000001,3.13641168000003,4.81499107000001,1.61499107000001,1.5214206100000198,1.6785793899999804,0.10500892999998968,0.44857938999998037,1.88,125.0,9.0
97-NiCrMnFeCo-HEO-Co-site,Co,1.24308191,3.25911668000001,1.59308191,3.30911668000001,4.79308191,1.59308191,1.71603477000001,1.4839652299999897,0.1269180900000002,0.48603477000001005,1.88,125.0,9.0
98-NiCrMnCoFe-HEO-Co-site,Co,1.37675005999998,3.34695668999998,1.72675005999998,3.3969566899999797,4.92675005999998,1.72675005999998,1.6702066299999996,1.5297933700000006,-0.006750059999980351,0.4967500599999801,1.88,125.0,9.0
